"","Survived","Pclass","Sex","Age","SibSp","Parch"
"696","Dead","2ª class","male",52,0,0
"697","Dead","3ª class","male",44,0,0
"698","Survived","3ª class","female",55,0,0
"699","Dead","1ª class","male",49,1,1
"700","Dead","3ª class","male",42,0,0
"701","Survived","1ª class","female",18,1,0
"702","Survived","1ª class","male",35,0,0
"703","Dead","3ª class","female",18,0,1
"704","Dead","3ª class","male",25,0,0
"705","Dead","3ª class","male",26,1,0
"706","Dead","2ª class","male",39,0,0
"707","Survived","2ª class","female",45,0,0
"708","Survived","1ª class","male",42,0,0
"709","Survived","1ª class","female",22,0,0
"710","Survived","3ª class","male",3,1,1
"711","Survived","1ª class","female",24,0,0
"712","Dead","1ª class","male",35,0,0
"713","Survived","1ª class","male",48,1,0
"714","Dead","3ª class","male",29,0,0
"715","Dead","2ª class","male",52,0,0
"716","Dead","3ª class","male",19,0,0
"717","Survived","1ª class","female",38,0,0
"718","Survived","2ª class","female",27,0,0
"719","Dead","3ª class","male",35,0,0
"720","Dead","3ª class","male",33,0,0
"721","Survived","2ª class","female",6,0,1
"722","Dead","3ª class","male",17,1,0
"723","Dead","2ª class","male",34,0,0
"724","Dead","2ª class","male",50,0,0
"725","Survived","1ª class","male",27,1,0
"726","Dead","3ª class","male",20,0,0
"727","Survived","2ª class","female",30,3,0
"728","Survived","3ª class","female",55,0,0
"729","Dead","2ª class","male",25,1,0
"730","Dead","3ª class","female",25,1,0
"731","Survived","1ª class","female",29,0,0
"732","Dead","3ª class","male",11,0,0
"733","Dead","2ª class","male",35,0,0
"734","Dead","2ª class","male",23,0,0
"735","Dead","2ª class","male",23,0,0
"736","Dead","3ª class","male",28.5,0,0
"737","Dead","3ª class","female",48,1,3
"738","Survived","1ª class","male",35,0,0
"739","Dead","3ª class","male",35,0,0
"740","Dead","3ª class","male",35,0,0
"741","Survived","1ª class","male",55,0,0
"742","Dead","1ª class","male",36,1,0
"743","Survived","1ª class","female",21,2,2
"744","Dead","3ª class","male",24,1,0
"745","Survived","3ª class","male",31,0,0
"746","Dead","1ª class","male",70,1,1
"747","Dead","3ª class","male",16,1,1
"748","Survived","2ª class","female",30,0,0
"749","Dead","1ª class","male",19,1,0
"750","Dead","3ª class","male",31,0,0
"751","Survived","2ª class","female",4,1,1
"752","Survived","3ª class","male",6,0,1
"753","Dead","3ª class","male",33,0,0
"754","Dead","3ª class","male",23,0,0
"755","Survived","2ª class","female",48,1,2
"756","Survived","2ª class","male",0.67,1,1
"757","Dead","3ª class","male",28,0,0
"758","Dead","2ª class","male",18,0,0
"759","Dead","3ª class","male",34,0,0
"760","Survived","1ª class","female",33,0,0
"761","Dead","3ª class","male",35,0,0
"762","Dead","3ª class","male",41,0,0
"763","Survived","3ª class","male",20,0,0
"764","Survived","1ª class","female",36,1,2
"765","Dead","3ª class","male",16,0,0
"766","Survived","1ª class","female",51,1,0
"767","Dead","1ª class","male",35,0,0
"768","Dead","3ª class","female",30.5,0,0
"769","Dead","3ª class","male",28,1,0
"770","Dead","3ª class","male",32,0,0
"771","Dead","3ª class","male",24,0,0
"772","Dead","3ª class","male",48,0,0
"773","Dead","2ª class","female",57,0,0
"774","Dead","3ª class","male",35,0,0
"775","Survived","2ª class","female",54,1,3
"776","Dead","3ª class","male",18,0,0
"777","Dead","3ª class","male",35,0,0
"778","Survived","3ª class","female",5,0,0
"779","Dead","3ª class","male",35,0,0
"780","Survived","1ª class","female",43,0,1
"781","Survived","3ª class","female",13,0,0
"782","Survived","1ª class","female",17,1,0
"783","Dead","1ª class","male",29,0,0
"784","Dead","3ª class","male",26,1,2
"785","Dead","3ª class","male",25,0,0
"786","Dead","3ª class","male",25,0,0
"787","Survived","3ª class","female",18,0,0
"788","Dead","3ª class","male",8,4,1
"789","Survived","3ª class","male",1,1,2
"790","Dead","1ª class","male",46,0,0
"791","Dead","3ª class","male",35,0,0
"792","Dead","2ª class","male",16,0,0
"793","Dead","3ª class","female",11,8,2
"794","Dead","1ª class","male",35,0,0
"795","Dead","3ª class","male",25,0,0
"796","Dead","2ª class","male",39,0,0
"797","Survived","1ª class","female",49,0,0
"798","Survived","3ª class","female",31,0,0
"799","Dead","3ª class","male",30,0,0
"800","Dead","3ª class","female",30,1,1
"801","Dead","2ª class","male",34,0,0
"802","Survived","2ª class","female",31,1,1
"803","Survived","1ª class","male",11,1,2
"804","Survived","3ª class","male",0.42,0,1
"805","Survived","3ª class","male",27,0,0
"806","Dead","3ª class","male",31,0,0
"807","Dead","1ª class","male",39,0,0
"808","Dead","3ª class","female",18,0,0
"809","Dead","2ª class","male",39,0,0
"810","Survived","1ª class","female",33,1,0
"811","Dead","3ª class","male",26,0,0
"812","Dead","3ª class","male",39,0,0
"813","Dead","2ª class","male",35,0,0
"814","Dead","3ª class","female",6,4,2
"815","Dead","3ª class","male",30.5,0,0
"816","Dead","1ª class","male",35,0,0
"817","Dead","3ª class","female",23,0,0
"818","Dead","2ª class","male",31,1,1
"819","Dead","3ª class","male",43,0,0
"820","Dead","3ª class","male",10,3,2
"821","Survived","1ª class","female",52,1,1
"822","Survived","3ª class","male",27,0,0
"823","Dead","1ª class","male",38,0,0
"824","Survived","3ª class","female",27,0,1
"825","Dead","3ª class","male",2,4,1
"826","Dead","3ª class","male",35,0,0
"827","Dead","3ª class","male",35,0,0
"828","Survived","2ª class","male",1,0,2
"829","Survived","3ª class","male",55,0,0
"830","Survived","1ª class","female",62,0,0
"831","Survived","3ª class","female",15,1,0
"832","Survived","2ª class","male",0.83,1,1
"833","Dead","3ª class","male",35,0,0
"834","Dead","3ª class","male",23,0,0
"835","Dead","3ª class","male",18,0,0
"836","Survived","1ª class","female",39,1,1
"837","Dead","3ª class","male",21,0,0
"838","Dead","3ª class","male",35,0,0
"839","Survived","3ª class","male",32,0,0
"840","Survived","1ª class","male",55,0,0
"841","Dead","3ª class","male",20,0,0
"842","Dead","2ª class","male",16,0,0
"843","Survived","1ª class","female",30,0,0
"844","Dead","3ª class","male",34.5,0,0
"845","Dead","3ª class","male",17,0,0
"846","Dead","3ª class","male",42,0,0
"847","Dead","3ª class","male",11,8,2
"848","Dead","3ª class","male",35,0,0
"849","Dead","2ª class","male",28,0,1
"850","Survived","1ª class","female",35,1,0
"851","Dead","3ª class","male",4,4,2
"852","Dead","3ª class","male",74,0,0
"853","Dead","3ª class","female",9,1,1
"854","Survived","1ª class","female",16,0,1
"855","Dead","2ª class","female",44,1,0
"856","Survived","3ª class","female",18,0,1
"857","Survived","1ª class","female",45,1,1
"858","Survived","1ª class","male",51,0,0
"859","Survived","3ª class","female",24,0,3
"860","Dead","3ª class","male",35,0,0
"861","Dead","3ª class","male",41,2,0
"862","Dead","2ª class","male",21,1,0
"863","Survived","1ª class","female",48,0,0
"864","Dead","3ª class","female",11,8,2
"865","Dead","2ª class","male",24,0,0
"866","Survived","2ª class","female",42,0,0
"867","Survived","2ª class","female",27,1,0
"868","Dead","1ª class","male",31,0,0
"869","Dead","3ª class","male",35,0,0
"870","Survived","3ª class","male",4,1,1
"871","Dead","3ª class","male",26,0,0
"872","Survived","1ª class","female",47,1,1
"873","Dead","1ª class","male",33,0,0
"874","Dead","3ª class","male",47,0,0
"875","Survived","2ª class","female",28,1,0
"876","Survived","3ª class","female",15,0,0
"877","Dead","3ª class","male",20,0,0
"878","Dead","3ª class","male",19,0,0
"879","Dead","3ª class","male",35,0,0
"880","Survived","1ª class","female",56,0,1
"881","Survived","2ª class","female",25,0,1
"882","Dead","3ª class","male",33,0,0
"883","Dead","3ª class","female",22,0,0
"884","Dead","2ª class","male",28,0,0
"885","Dead","3ª class","male",25,0,0
"886","Dead","3ª class","female",39,0,5
"887","Dead","2ª class","male",27,0,0
"888","Survived","1ª class","female",19,0,0
"889","Dead","3ª class","female",26,1,2
"890","Survived","1ª class","male",26,0,0
"891","Dead","3ª class","male",32,0,0
